date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:20	168/168	---M-Z	200	added ('OK')	text/plain	date:Thu,%2019%20Jan%202017%2010:01:40%20GMT	https://www.avodaq.com/robots.txt		(from )
15:48:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2028%20May%202021%2013:48:20%20GMT	https://www.avodaq.com/	/Users/skrug/websites/avodaq/www.avodaq.com/index.html	(from )
15:48:22	279524/279524	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20May%202021%2013:48:22%20GMT	https://www.avodaq.com/en/	/Users/skrug/websites/avodaq/www.avodaq.com/en/index.html	(from https://www.avodaq.com/)
15:48:22	712/712	---M-Z	200	added ('OK')	text/css	date:Fri,%2011%20May%202018%2009:20:25%20GMT	https://www.avodaq.com/system/modules/cookiebar/assets/dist/cookiebar.min.css	/Users/skrug/websites/avodaq/www.avodaq.com/system/modules/cookiebar/assets/dist/cookiebar.min.css	(from https://www.avodaq.com/en/)
15:48:23	51251/51251	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20May%202021%2000:16:36%20GMT	https://www.avodaq.com/assets/css/9d4cb0927f2b.css	/Users/skrug/websites/avodaq/www.avodaq.com/assets/css/9d4cb0927f2b.css	(from https://www.avodaq.com/en/)
15:48:24	95954/95954	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20May%202021%2000:16:36%20GMT	https://www.avodaq.com/assets/js/6dfb841c7b4e.js	/Users/skrug/websites/avodaq/www.avodaq.com/assets/js/6dfb841c7b4e.js	(from https://www.avodaq.com/en/)
15:48:26	181635/181635	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20May%202021%2013:48:25%20GMT	https://www.avodaq.com/de/sandbox-324fksdf9dc43.html	/Users/skrug/websites/avodaq/www.avodaq.com/de/sandbox-324fksdf9dc43.html	(from https://www.avodaq.com/en/)
15:48:27	1150/1150	---M-Z	200	added ('OK')	image/x-icon	date:Tue,%2024%20Jan%202017%2009:27:00%20GMT	https://www.avodaq.com/favicon.ico	/Users/skrug/websites/avodaq/www.avodaq.com/favicon.ico	(from https://www.avodaq.com/en/)
15:48:27	279528/279528	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20May%202021%2013:48:27%20GMT	https://www.avodaq.com/en/index-en.html	/Users/skrug/websites/avodaq/www.avodaq.com/en/index-en.html	(from https://www.avodaq.com/en/)
15:48:28	740/740	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202017%2009:31:44%20GMT	https://www.avodaq.com/files/avodaq/templates/img/app-icon.png	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/templates/img/app-icon.png	(from https://www.avodaq.com/en/)
15:48:29	853/853	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202017%2009:31:46%20GMT	https://www.avodaq.com/files/avodaq/templates/img/app-icon-76x76.png	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/templates/img/app-icon-76x76.png	(from https://www.avodaq.com/en/)
15:48:30	1141/1141	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202017%2009:31:44%20GMT	https://www.avodaq.com/files/avodaq/templates/img/app-icon-60x60@2x.png	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/templates/img/app-icon-60x60@2x.png	(from https://www.avodaq.com/en/)
15:48:31	1446/1446	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202017%2009:31:44%20GMT	https://www.avodaq.com/files/avodaq/templates/img/app-icon-76x76@2x.png	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/templates/img/app-icon-76x76@2x.png	(from https://www.avodaq.com/en/)
15:48:32	2624/2624	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2024%20Jan%202017%2009:31:46%20GMT	https://www.avodaq.com/files/avodaq/templates/img/logo.svg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/templates/img/logo.svg	(from https://www.avodaq.com/en/)
15:48:34	320392/320392	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Nov%202017%2007:44:35%20GMT	https://www.avodaq.com/files/avodaq/content/backgrounds/2017/improved/pexels-photo-26165_web-darker.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/backgrounds/2017/improved/pexels-photo-26165_web-darker.jpg	(from https://www.avodaq.com/en/)
